Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
25874,4/19/11 10:30,,Auto,Pedestrian,,EVERETT ST,OXFORD ST," EVERETT ST & OXFORD ST Cambridge, MA",42.379822,-71.116506,
25889,4/26/11 19:18,,Auto,Pedestrian,355,Binney St,,"355 Binney St Cambridge, MA",42.367297,-71.089677,
25901,4/30/11 9:00,Wednesday,Auto,Pedestrian,189,Upland Rd,,"189 Upland Rd Cambridge, MA",42.386561,-71.126595,
26884,4/30/11 13:30,Saturday,Auto,Pedestrian,211,Alewife Brook Pky,,"211 Alewife Brook Pky Cambridge, MA",42.389554,-71.142675,
25922,5/6/11 8:00,,Auto,Pedestrian,,Aberdeen Way,MOUNT AUBURN ST," Aberdeen Way & MOUNT AUBURN ST Cambridge, MA",42.375263,-71.145825,
25925,5/6/11 9:00,,Truck,Pedestrian,,Windsor St,Broadway," Windsor St & Broadway Cambridge, MA",42.367107,-71.095416,
25954,5/13/11 9:08,Friday,Taxi,Pedestrian,,Massachusetts Ave,Upland Rd," Massachusetts Ave & Upland Rd Cambridge, MA",42.388173,-71.119415,
25965,5/16/11 16:06,Monday,Auto,Pedestrian,,Walden St,Vassal Ln," Walden St & Vassal Ln Cambridge, MA",42.38252,-71.135539,
25978,5/20/11 21:20,Friday,Auto,Pedestrian,199,Windsor St,,"199 Windsor St Cambridge, MA",42.366163,-71.095852,
25979,5/21/11 10:48,Saturday,Auto,Pedestrian,173,Cambridge St,,"173 Cambridge St Cambridge, MA",42.371033,-71.078758,
26127,5/25/11 8:19,Wednesday,Auto,Pedestrian,35,Cambridgepark Dr,,"35 Cambridgepark Dr Cambridge, MA",42.394796,-71.143537,
26005,5/26/11 12:00,Thursday,Auto,Pedestrian,351,Massachusetts Ave,,"351 Massachusetts Ave Cambridge, MA",42.362817,-71.099075,
